   Line    |    Original     |       New       |   Improvement   |   Multiplier   
    52     |        3        |        3        | 0.00% |      1.00x     
    53     |       412       |       46        | 88.83% |      8.96x     
    54     |        1        |        1        | 0.00% |      1.00x     
    55     |       402       |       37        | 90.80% |     10.86x     
    56     |       331       |       21        | 93.66% |     15.76x     
    57     |        1        |        1        | 0.00% |      1.00x     
    58     |       256       |       40        | 84.38% |      6.40x     
    59     |       256       |        1        | 99.61% |     256.00x    
    60     |       210       |       207       | 1.43% |      1.01x     
    61     |        1        |        1        | 0.00% |      1.00x     
    62     |       256       |        8        | 96.88% |     32.00x     
    63     |        1        |        1        | 0.00% |      1.00x     
    64     |        1        |        1        | 0.00% |      1.00x     
    65     |        1        |        1        | 0.00% |      1.00x     
    66     |       855       |       158       | 81.52% |      5.41x     
    67     |        1        |        1        | 0.00% |      1.00x     
    68     |       368       |       107       | 70.92% |      3.44x     
    69     |       302       |       18        | 94.04% |     16.78x     
    70     |       483       |       63        | 86.96% |      7.67x     
    71     |       303       |       18        | 94.06% |     16.83x     
    72     |       256       |        1        | 99.61% |     256.00x    
    73     |       323       |       35        | 89.16% |      9.23x     
    74     |        1        |        1        | 0.00% |      1.00x     
    75     |       637       |       105       | 83.52% |      6.07x     
    76     |       362       |       34        | 90.61% |     10.65x     
    77     |       260       |       161       | 38.08% |      1.61x     
    78     |        1        |        1        | 0.00% |      1.00x     
    79     |        5        |        5        | 0.00% |      1.00x     
    80     |       565       |       90        | 84.07% |      6.28x     
    81     |       356       |       39        | 89.04% |      9.13x     
    82     |       348       |       53        | 84.77% |      6.57x     
    83     |        3        |        3        | 0.00% |      1.00x     
    84     |        1        |        1        | 0.00% |      1.00x     
    85     |       560       |       85        | 84.82% |      6.59x     
    86     |        3        |        3        | 0.00% |      1.00x     
    87     |       405       |       39        | 90.37% |     10.38x     
    88     |        3        |        3        | 0.00% |      1.00x     
    89     |       411       |       45        | 89.05% |      9.13x     
    90     |       256       |        1        | 99.61% |     256.00x    
    91     |       334       |       28        | 91.62% |     11.93x     
    92     |       352       |       34        | 90.34% |     10.35x     
    93     |       343       |       60        | 82.51% |      5.72x     
    94     |       23        |       23        | 0.00% |      1.00x     
    95     |        1        |        1        | 0.00% |      1.00x     
    96     |       557       |       80        | 85.64% |      6.96x     
    97     |        1        |        1        | 0.00% |      1.00x     
    98     |       124       |       124       | 0.00% |      1.00x     
    99     |        4        |        4        | 0.00% |      1.00x     
   100     |        1        |        1        | 0.00% |      1.00x     
   101     |       565       |       90        | 84.07% |      6.28x     
   102     |        1        |        1        | 0.00% |      1.00x     
   103     |       333       |       23        | 93.09% |     14.48x     
   104     |       336       |       27        | 91.96% |     12.44x     
   105     |        1        |        1        | 0.00% |      1.00x     
   106     |       297       |       18        | 93.94% |     16.50x     
   107     |       303       |       18        | 94.06% |     16.83x     
   108     |        1        |        1        | 0.00% |      1.00x     
   109     |       630       |       98        | 84.44% |      6.43x     
   110     |       303       |       43        | 85.81% |      7.05x     
   111     |       328       |       18        | 94.51% |     18.22x     
   112     |       329       |       19        | 94.22% |     17.32x     
   113     |       352       |       33        | 90.62% |     10.67x     
   114     |        3        |        3        | 0.00% |      1.00x     
   115     |        1        |        1        | 0.00% |      1.00x     
   116     |       490       |       69        | 85.92% |      7.10x     
   117     |       369       |       42        | 88.62% |      8.79x     
   118     |       394       |       128       | 67.51% |      3.08x     
   119     |        5        |        5        | 0.00% |      1.00x     
   120     |        1        |        1        | 0.00% |      1.00x     
   121     |       413       |       48        | 88.38% |      8.60x     
   122     |       330       |       28        | 91.52% |     11.79x     
   123     |       484       |       90        | 81.40% |      5.38x     
   124     |        1        |        1        | 0.00% |      1.00x     
   125     |        1        |        1        | 0.00% |      1.00x     
   126     |       559       |       82        | 85.33% |      6.82x     
   127     |        1        |        1        | 0.00% |      1.00x     
   128     |       636       |       150       | 76.42% |      4.24x     
   129     |       302       |       19        | 93.71% |     15.89x     
   130     |       410       |       45        | 89.02% |      9.11x     
   131     |       306       |       23        | 92.48% |     13.30x     
   132     |       338       |       28        | 91.72% |     12.07x     
   133     |       256       |        1        | 99.61% |     256.00x    
   134     |       256       |        1        | 99.61% |     256.00x    
   135     |        1        |        1        | 0.00% |      1.00x     
   136     |        1        |        1        | 0.00% |      1.00x     
   137     |       256       |        2        | 99.22% |     128.00x    
   138     |       256       |        4        | 98.44% |     64.00x     
   139     |       50        |       50        | 0.00% |      1.00x     
   140     |       256       |       13        | 94.92% |     19.69x     
   141     |       62        |       62        | 0.00% |      1.00x     
   142     |        1        |        1        | 0.00% |      1.00x     
   143     |        1        |        1        | 0.00% |      1.00x     
   144     |        1        |        1        | 0.00% |      1.00x     
   145     |        1        |        1        | 0.00% |      1.00x     
   146     |       996       |       199       | 80.02% |      5.01x     
   147     |       256       |       79        | 69.14% |      3.24x     
   148     |       26        |       26        | 0.00% |      1.00x     
   149     |       256       |        1        | 99.61% |     256.00x    
   150     |       256       |        1        | 99.61% |     256.00x    
   151     |        1        |        1        | 0.00% |      1.00x     
   152     |       256       |        8        | 96.88% |     32.00x     
   153     |       256       |        1        | 99.61% |     256.00x    
   154     |       256       |       21        | 91.80% |     12.19x     
   155     |       256       |        1        | 99.61% |     256.00x    
   156     |        1        |        1        | 0.00% |      1.00x     
   157     |        9        |        9        | 0.00% |      1.00x     
   158     |        1        |        1        | 0.00% |      1.00x     
   159     |      1006       |       197       | 80.42% |      5.11x     
   160     |       256       |        1        | 99.61% |     256.00x    
   161     |       332       |       22        | 93.37% |     15.09x     
   162     |       331       |       20        | 93.96% |     16.55x     
   163     |       304       |       19        | 93.75% |     16.00x     
   164     |        1        |        1        | 0.00% |      1.00x     
   165     |       354       |       43        | 87.85% |      8.23x     
   166     |        1        |        1        | 0.00% |      1.00x     
   167     |       564       |       89        | 84.22% |      6.34x     
   168     |       298       |       45        | 84.90% |      6.62x     
   169     |       355       |       41        | 88.45% |      8.66x     
   170     |       325       |       28        | 91.38% |     11.61x     
   171     |        1        |        1        | 0.00% |      1.00x     
   172     |       558       |       82        | 85.30% |      6.80x     
   173     |       248       |       207       | 16.53% |      1.20x     
   174     |       338       |       25        | 92.60% |     13.52x     
   175     |       362       |       32        | 91.16% |     11.31x     
   176     |       232       |       210       | 9.48% |      1.10x     
   177     |       320       |       26        | 91.88% |     12.31x     
   178     |        5        |        5        | 0.00% |      1.00x     
   179     |        1        |        1        | 0.00% |      1.00x     
   180     |       561       |       86        | 84.67% |      6.52x     
   181     |       294       |       13        | 95.58% |     22.62x     
   182     |       304       |       19        | 93.75% |     16.00x     
   183     |       256       |        1        | 99.61% |     256.00x    
   184     |       23        |       23        | 0.00% |      1.00x     
   185     |       263       |       146       | 44.49% |      1.80x     
   186     |        1        |        1        | 0.00% |      1.00x     
   187     |       704       |       116       | 83.52% |      6.07x     
   188     |       264       |       146       | 44.70% |      1.81x     
   189     |        1        |        1        | 0.00% |      1.00x     
   190     |       329       |       19        | 94.22% |     17.32x     
   191     |        1        |        1        | 0.00% |      1.00x     
   192     |        1        |        1        | 0.00% |      1.00x     
   193     |       408       |       44        | 89.22% |      9.27x     
   194     |       488       |       90        | 81.56% |      5.42x     
   195     |       308       |       51        | 83.44% |      6.04x     
   196     |        1        |        1        | 0.00% |      1.00x     
   197     |       480       |       60        | 87.50% |      8.00x     
   198     |       381       |       119       | 68.77% |      3.20x     
   199     |       303       |       20        | 93.40% |     15.15x     
   200     |       411       |       46        | 88.81% |      8.93x     
   201     |       304       |       18        | 94.08% |     16.89x     
   202     |       362       |       39        | 89.23% |      9.28x     
   203     |        1        |        1        | 0.00% |      1.00x     
   204     |       445       |       75        | 83.15% |      5.93x     
   205     |        1        |        1        | 0.00% |      1.00x     
   206     |       568       |       93        | 83.63% |      6.11x     
   207     |       408       |       67        | 83.58% |      6.09x     
   208     |       338       |       28        | 91.72% |     12.07x     
   209     |       414       |       48        | 88.41% |      8.62x     
   210     |       402       |       95        | 76.37% |      4.23x     
   211     |        5        |        5        | 0.00% |      1.00x     
   212     |       409       |       43        | 89.49% |      9.51x     
   213     |       335       |       51        | 84.78% |      6.57x     
   214     |       351       |       35        | 90.03% |     10.03x     
   215     |       411       |       56        | 86.37% |      7.34x     
   216     |       488       |       67        | 86.27% |      7.28x     
   217     |       354       |       34        | 90.40% |     10.41x     
   218     |        1        |        1        | 0.00% |      1.00x     
   219     |       490       |       87        | 82.24% |      5.63x     
   220     |       493       |       72        | 85.40% |      6.85x     
   221     |       442       |       71        | 83.94% |      6.23x     
   222     |        1        |        1        | 0.00% |      1.00x     
   223     |       397       |       46        | 88.41% |      8.63x     
   224     |       366       |       37        | 89.89% |      9.89x     
   225     |       306       |       21        | 93.14% |     14.57x     
   226     |       506       |       84        | 83.40% |      6.02x     
   227     |        1        |        1        | 0.00% |      1.00x     
   228     |        5        |        5        | 0.00% |      1.00x     
   229     |       643       |       111       | 82.74% |      5.79x     
   230     |        1        |        1        | 0.00% |      1.00x     
   231     |       631       |       150       | 76.23% |      4.21x     
   232     |       415       |       49        | 88.19% |      8.47x     
   233     |       484       |       91        | 81.20% |      5.32x     
   234     |        3        |        3        | 0.00% |      1.00x     
   235     |       307       |       23        | 92.51% |     13.35x     
   236     |       288       |       15        | 94.79% |     19.20x     
   237     |        1        |        1        | 0.00% |      1.00x     
   238     |        1        |        1        | 0.00% |      1.00x     
   239     |        1        |        1        | 0.00% |      1.00x     
   240     |        1        |        1        | 0.00% |      1.00x     
   241     |       632       |       101       | 84.02% |      6.26x     
   242     |       288       |       14        | 95.14% |     20.57x     
   243     |       635       |       151       | 76.22% |      4.21x     
   244     |        1        |        1        | 0.00% |      1.00x     
   245     |       415       |       50        | 87.95% |      8.30x     
   246     |       393       |       143       | 63.61% |      2.75x     
   247     |       333       |       23        | 93.09% |     14.48x     
   248     |       293       |       41        | 86.01% |      7.15x     
   249     |       359       |       42        | 88.30% |      8.55x     
   250     |       330       |       38        | 88.48% |      8.68x     
   251     |        1        |        1        | 0.00% |      1.00x     
   252     |       562       |       87        | 84.52% |      6.46x     
   253     |       256       |        1        | 99.61% |     256.00x    
   254     |       396       |       75        | 81.06% |      5.28x     
   255     |        6        |        6        | 0.00% |      1.00x     
   256     |        1        |        1        | 0.00% |      1.00x     
   257     |        1        |        1        | 0.00% |      1.00x     
   258     |       483       |       63        | 86.96% |      7.67x     
   259     |        6        |        6        | 0.00% |      1.00x     
   260     |       689       |       176       | 74.46% |      3.91x     
   261     |        1        |        1        | 0.00% |      1.00x     
   262     |       412       |       47        | 88.59% |      8.77x     
   263     |       471       |       83        | 82.38% |      5.67x     
   264     |       329       |       60        | 81.76% |      5.48x     
   265     |       408       |       42        | 89.71% |      9.71x     
   266     |       380       |       94        | 75.26% |      4.04x     
   267     |       303       |       19        | 93.73% |     15.95x     
   268     |       485       |       65        | 86.60% |      7.46x     
   269     |       307       |       22        | 92.83% |     13.95x     
   270     |        6        |        6        | 0.00% |      1.00x     
   271     |       345       |       34        | 90.14% |     10.15x     
   272     |       446       |       73        | 83.63% |      6.11x     
   273     |        1        |        1        | 0.00% |      1.00x     
   274     |       27        |       27        | 0.00% |      1.00x     
   275     |       564       |       88        | 84.40% |      6.41x     
   276     |       495       |       93        | 81.21% |      5.32x     
   277     |       338       |       28        | 91.72% |     12.07x     
   278     |       371       |       39        | 89.49% |      9.51x     
   279     |        7        |        7        | 0.00% |      1.00x     
   280     |       328       |       28        | 91.46% |     11.71x     
   281     |       393       |       56        | 85.75% |      7.02x     
   282     |        5        |        5        | 0.00% |      1.00x     
   283     |        1        |        1        | 0.00% |      1.00x     
   284     |        1        |        1        | 0.00% |      1.00x     
   285     |        1        |        1        | 0.00% |      1.00x     
   286     |        1        |        1        | 0.00% |      1.00x     
   287     |       637       |       106       | 83.36% |      6.01x     
   288     |       348       |       36        | 89.66% |      9.67x     
   289     |       589       |       135       | 77.08% |      4.36x     
   290     |       414       |       49        | 88.16% |      8.45x     
   291     |       359       |       31        | 91.36% |     11.58x     
   292     |       332       |       30        | 90.96% |     11.07x     
   293     |       482       |       90        | 81.33% |      5.36x     
   294     |       10        |       10        | 0.00% |      1.00x     
   295     |        5        |        5        | 0.00% |      1.00x     
   296     |        1        |        1        | 0.00% |      1.00x     
   297     |       18        |       18        | 0.00% |      1.00x     
   298     |        1        |        1        | 0.00% |      1.00x     
   299     |       564       |       89        | 84.22% |      6.34x     
   300     |       10        |       10        | 0.00% |      1.00x     
   301     |       619       |       154       | 75.12% |      4.02x     
   302     |       18        |       18        | 0.00% |      1.00x     
   303     |        1        |        1        | 0.00% |      1.00x     
   304     |       487       |       66        | 86.45% |      7.38x     
   305     |       311       |       24        | 92.28% |     12.96x     
   306     |       380       |       106       | 72.11% |      3.58x     
   307     |       288       |       11        | 96.18% |     26.18x     
   308     |        1        |        1        | 0.00% |      1.00x     
   309     |       553       |       78        | 85.90% |      7.09x     
   310     |       333       |       22        | 93.39% |     15.14x     
   311     |       256       |        1        | 99.61% |     256.00x    
   312     |       251       |       118       | 52.99% |      2.13x     
   313     |        1        |        1        | 0.00% |      1.00x     
   314     |        1        |        1        | 0.00% |      1.00x     
   315     |       553       |       78        | 85.90% |      7.09x     
   316     |        1        |        1        | 0.00% |      1.00x     
   317     |       177       |       175       | 1.13% |      1.01x     
   318     |        3        |        3        | 0.00% |      1.00x     
   319     |        1        |        1        | 0.00% |      1.00x     
   320     |        1        |        1        | 0.00% |      1.00x     
   321     |       479       |       57        | 88.10% |      8.40x     
   322     |        1        |        1        | 0.00% |      1.00x     
   323     |       331       |       21        | 93.66% |     15.76x     
   324     |       50        |       50        | 0.00% |      1.00x     
   325     |        1        |        1        | 0.00% |      1.00x     
   326     |       349       |       36        | 89.68% |      9.69x     
   327     |        1        |        1        | 0.00% |      1.00x     
   328     |       337       |       34        | 89.91% |      9.91x     
   329     |        3        |        3        | 0.00% |      1.00x     
   330     |        1        |        1        | 0.00% |      1.00x     
   331     |       709       |       122       | 82.79% |      5.81x     
   332     |       248       |       178       | 28.23% |      1.39x     
   333     |        1        |        1        | 0.00% |      1.00x     
   334     |        1        |        1        | 0.00% |      1.00x     
   335     |       479       |       59        | 87.68% |      8.12x     
   336     |       352       |       36        | 89.77% |      9.78x     
   337     |       288       |       11        | 96.18% |     26.18x     
   338     |        8        |        8        | 0.00% |      1.00x     
   339     |        1        |        1        | 0.00% |      1.00x     
   340     |       556       |       82        | 85.25% |      6.78x     
   341     |       126       |       126       | 0.00% |      1.00x     
   342     |        1        |        1        | 0.00% |      1.00x     
   343     |        1        |        1        | 0.00% |      1.00x     
   344     |       409       |       44        | 89.24% |      9.30x     
   345     |       263       |       70        | 73.38% |      3.76x     
   346     |        1        |        1        | 0.00% |      1.00x     
   347     |       411       |       46        | 88.81% |      8.93x     
   348     |       330       |       20        | 93.94% |     16.50x     
   349     |        1        |        1        | 0.00% |      1.00x     
   350     |        1        |        1        | 0.00% |      1.00x     
   351     |       409       |       44        | 89.24% |      9.30x     
   352     |        1        |        1        | 0.00% |      1.00x     
   353     |       487       |       65        | 86.65% |      7.49x     
   354     |        1        |        1        | 0.00% |      1.00x     
   355     |       335       |       25        | 92.54% |     13.40x     
   356     |       256       |        1        | 99.61% |     256.00x    
   357     |       256       |        1        | 99.61% |     256.00x    
   358     |       24        |       24        | 0.00% |      1.00x     
   359     |       256       |        2        | 99.22% |     128.00x    
   360     |       250       |       172       | 31.20% |      1.45x     
   361     |       256       |        1        | 99.61% |     256.00x    
   362     |       256       |        1        | 99.61% |     256.00x    
   363     |       256       |        1        | 99.61% |     256.00x    
   364     |       256       |        1        | 99.61% |     256.00x    
   365     |       246       |       204       | 17.07% |      1.21x     
   366     |        1        |        1        | 0.00% |      1.00x     
   367     |        1        |        1        | 0.00% |      1.00x     
   368     |        1        |        1        | 0.00% |      1.00x     
   369     |      1016       |       208       | 79.53% |      4.88x     
   370     |       256       |        1        | 99.61% |     256.00x    
   371     |       256       |        1        | 99.61% |     256.00x    
   372     |        1        |        1        | 0.00% |      1.00x     
   373     |       256       |        1        | 99.61% |     256.00x    
   374     |       256       |       27        | 89.45% |      9.48x     
   375     |       256       |        1        | 99.61% |     256.00x    
   376     |       211       |       206       | 2.37% |      1.02x     
   377     |       256       |        1        | 99.61% |     256.00x    
   378     |       219       |       200       | 8.68% |      1.09x     
   379     |       256       |        1        | 99.61% |     256.00x    
   380     |        1        |        1        | 0.00% |      1.00x     
   381     |        1        |        1        | 0.00% |      1.00x     
   382     |        1        |        1        | 0.00% |      1.00x     
   383     |        1        |        1        | 0.00% |      1.00x     
   384     |       992       |       196       | 80.24% |      5.06x     
   385     |       10        |       10        | 0.00% |      1.00x     
   386     |       214       |       205       | 4.21% |      1.04x     
   387     |       256       |        1        | 99.61% |     256.00x    
   388     |       256       |        1        | 99.61% |     256.00x    
   389     |       199       |       196       | 1.51% |      1.02x     
   390     |        1        |        1        | 0.00% |      1.00x     
   391     |        1        |        1        | 0.00% |      1.00x     
   392     |       715       |       127       | 82.24% |      5.63x     
   393     |       256       |        1        | 99.61% |     256.00x    
   394     |       13        |       13        | 0.00% |      1.00x     
   395     |       248       |       197       | 20.56% |      1.26x     
   396     |       14        |       14        | 0.00% |      1.00x     
   397     |        1        |        1        | 0.00% |      1.00x     
   398     |        1        |        1        | 0.00% |      1.00x     
   399     |        1        |        1        | 0.00% |      1.00x     
   400     |        1        |        1        | 0.00% |      1.00x     
   401     |       256       |        1        | 99.61% |     256.00x    
   402     |        1        |        1        | 0.00% |      1.00x     
   403     |        1        |        1        | 0.00% |      1.00x     
   404     |        1        |        1        | 0.00% |      1.00x     
   405     |      1021       |       210       | 79.43% |      4.86x     
   406     |        1        |        1        | 0.00% |      1.00x     
   407     |        1        |        1        | 0.00% |      1.00x     
   408     |        3        |        3        | 0.00% |      1.00x     
   409     |       256       |        3        | 98.83% |     85.33x     
   410     |       256       |        1        | 99.61% |     256.00x    
   411     |       20        |       20        | 0.00% |      1.00x     
   412     |       256       |        1        | 99.61% |     256.00x    
   413     |       256       |        4        | 98.44% |     64.00x     
   414     |       179       |       171       | 4.47% |      1.05x     
   415     |        1        |        1        | 0.00% |      1.00x     
   416     |       16        |       16        | 0.00% |      1.00x     
   417     |        1        |        1        | 0.00% |      1.00x     
   418     |        1        |        1        | 0.00% |      1.00x     
   419     |        1        |        1        | 0.00% |      1.00x     
   420     |        1        |        1        | 0.00% |      1.00x     
   421     |      1006       |       198       | 80.32% |      5.08x     
   422     |       96        |       96        | 0.00% |      1.00x     
   423     |       256       |        1        | 99.61% |     256.00x    
   424     |       256       |        1        | 99.61% |     256.00x    
   425     |       205       |       195       | 4.88% |      1.05x     
   426     |       112       |       112       | 0.00% |      1.00x     
   427     |       163       |       162       | 0.61% |      1.01x     
   428     |        1        |        1        | 0.00% |      1.00x     
   429     |       691       |       119       | 82.78% |      5.81x     
   430     |        1        |        1        | 0.00% |      1.00x     
   431     |       335       |       23        | 93.13% |     14.57x     
   432     |        1        |        1        | 0.00% |      1.00x     
   433     |        1        |        1        | 0.00% |      1.00x     
   434     |       410       |       44        | 89.27% |      9.32x     
   435     |        1        |        1        | 0.00% |      1.00x     
   436     |       334       |       24        | 92.81% |     13.92x     
   437     |       333       |       23        | 93.09% |     14.48x     
   438     |       330       |       20        | 93.94% |     16.50x     
   439     |       333       |       23        | 93.09% |     14.48x     
   440     |        1        |        1        | 0.00% |      1.00x     
   441     |       331       |       21        | 93.66% |     15.76x     
   442     |       332       |       22        | 93.37% |     15.09x     
   443     |       256       |       13        | 94.92% |     19.69x     
   444     |       256       |        1        | 99.61% |     256.00x    
   445     |        4        |        4        | 0.00% |      1.00x     
   446     |       79        |       79        | 0.00% |      1.00x     
   447     |       256       |        1        | 99.61% |     256.00x    
   448     |       237       |       202       | 14.77% |      1.17x     
   449     |       256       |        1        | 99.61% |     256.00x    
   450     |       256       |        1        | 99.61% |     256.00x    
   451     |       232       |       218       | 6.03% |      1.06x     
   452     |        1        |        1        | 0.00% |      1.00x     
   453     |        1        |        1        | 0.00% |      1.00x     
   454     |       16        |       16        | 0.00% |      1.00x     
   455     |      1017       |       210       | 79.35% |      4.84x     
   456     |        1        |        1        | 0.00% |      1.00x     
   457     |       256       |       36        | 85.94% |      7.11x     
   458     |       98        |       98        | 0.00% |      1.00x     
   459     |        1        |        1        | 0.00% |      1.00x     
   460     |       256       |        1        | 99.61% |     256.00x    
   461     |       256       |        1        | 99.61% |     256.00x    
   462     |       256       |        1        | 99.61% |     256.00x    
   463     |        4        |        4        | 0.00% |      1.00x     
   464     |       256       |        6        | 97.66% |     42.67x     
   465     |       256       |        1        | 99.61% |     256.00x    
   466     |       15        |       15        | 0.00% |      1.00x     
   467     |      1003       |       196       | 80.46% |      5.12x     
   468     |       256       |        8        | 96.88% |     32.00x     
   469     |       197       |       194       | 1.52% |      1.02x     
   470     |       256       |        1        | 99.61% |     256.00x    
   471     |       256       |        1        | 99.61% |     256.00x    
   472     |       29        |       29        | 0.00% |      1.00x     
   473     |       560       |       81        | 85.54% |      6.91x     
   474     |       256       |       16        | 93.75% |     16.00x     
   475     |       191       |       186       | 2.62% |      1.03x     
   476     |        1        |        1        | 0.00% |      1.00x     
   477     |       486       |       65        | 86.63% |      7.48x     
   478     |       128       |       128       | 0.00% |      1.00x     
   479     |        4        |        4        | 0.00% |      1.00x     
   480     |        6        |        6        | 0.00% |      1.00x     
   481     |        1        |        1        | 0.00% |      1.00x     
   482     |        1        |        1        | 0.00% |      1.00x     
   483     |       409       |       44        | 89.24% |      9.30x     
   484     |        1        |        1        | 0.00% |      1.00x     
   485     |       333       |       24        | 92.79% |     13.88x     
   486     |        3        |        3        | 0.00% |      1.00x     
   487     |       410       |       45        | 89.02% |      9.11x     
   488     |        1        |        1        | 0.00% |      1.00x     
   489     |       333       |       23        | 93.09% |     14.48x     
   490     |       134       |       134       | 0.00% |      1.00x     
   491     |        1        |        1        | 0.00% |      1.00x     
   492     |       408       |       42        | 89.71% |      9.71x     
   493     |       313       |       18        | 94.25% |     17.39x     
   494     |       402       |       54        | 86.57% |      7.44x     
   495     |        1        |        1        | 0.00% |      1.00x     
   496     |        1        |        1        | 0.00% |      1.00x     
   497     |       554       |       78        | 85.92% |      7.10x     
   498     |       313       |       31        | 90.10% |     10.10x     
   499     |       310       |       28        | 90.97% |     11.07x     
   500     |       256       |        1        | 99.61% |     256.00x    
   501     |        6        |        6        | 0.00% |      1.00x     
   502     |        1        |        1        | 0.00% |      1.00x     
   503     |       629       |       98        | 84.42% |      6.42x     
   504     |       256       |        1        | 99.61% |     256.00x    
   505     |       360       |       33        | 90.83% |     10.91x     
   506     |        1        |        1        | 0.00% |      1.00x     
   507     |        1        |        1        | 0.00% |      1.00x     
   508     |       256       |        1        | 99.61% |     256.00x    
   509     |        1        |        1        | 0.00% |      1.00x     
   510     |        5        |        5        | 0.00% |      1.00x     
   511     |        1        |        1        | 0.00% |      1.00x     
   512     |        1        |        1        | 0.00% |      1.00x     
   513     |        1        |        1        | 0.00% |      1.00x     
   514     |       792       |       150       | 81.06% |      5.28x     
   515     |       313       |       31        | 90.10% |     10.10x     
   516     |       304       |       19        | 93.75% |     16.00x     
   517     |        4        |        4        | 0.00% |      1.00x     
   518     |       320       |       23        | 92.81% |     13.91x     
   519     |        1        |        1        | 0.00% |      1.00x     
   520     |        6        |        6        | 0.00% |      1.00x     
   521     |        1        |        1        | 0.00% |      1.00x     
   522     |       707       |       122       | 82.74% |      5.80x     
   523     |        1        |        1        | 0.00% |      1.00x     
   524     |       331       |       21        | 93.66% |     15.76x     
   525     |        6        |        6        | 0.00% |      1.00x     
   526     |        1        |        1        | 0.00% |      1.00x     
   527     |        4        |        4        | 0.00% |      1.00x     
   528     |        1        |        1        | 0.00% |      1.00x     
   529     |       404       |       39        | 90.35% |     10.36x     
   530     |       304       |       20        | 93.42% |     15.20x     
   531     |        1        |        1        | 0.00% |      1.00x     
   532     |        1        |        1        | 0.00% |      1.00x     
   533     |       319       |       33        | 89.66% |      9.67x     
   534     |        1        |        1        | 0.00% |      1.00x     
   535     |        1        |        1        | 0.00% |      1.00x     
   536     |       634       |       103       | 83.75% |      6.16x     
   537     |       330       |       20        | 93.94% |     16.50x     
   538     |       370       |       62        | 83.24% |      5.97x     
   539     |        1        |        1        | 0.00% |      1.00x     
   540     |       407       |       42        | 89.68% |      9.69x     
   541     |       256       |        1        | 99.61% |     256.00x    
   542     |        1        |        1        | 0.00% |      1.00x     
   543     |       237       |       208       | 12.24% |      1.14x     
   544     |       256       |        1        | 99.61% |     256.00x    
   545     |        1        |        1        | 0.00% |      1.00x     
   546     |        1        |        1        | 0.00% |      1.00x     
   547     |        3        |        3        | 0.00% |      1.00x     
   548     |        1        |        1        | 0.00% |      1.00x     
   549     |       855       |       160       | 81.29% |      5.34x     
   550     |       350       |       35        | 90.00% |     10.00x     
   551     |       320       |       36        | 88.75% |      8.89x     
   552     |       420       |       83        | 80.24% |      5.06x     
   553     |       486       |       66        | 86.42% |      7.36x     
   554     |       256       |        1        | 99.61% |     256.00x    
   555     |       194       |       188       | 3.09% |      1.03x     
   556     |       385       |       103       | 73.25% |      3.74x     
